seed,method,corruption,severity,accuracy
123,strong_aug,gaussian_noise,1,0.846271315856452
123,strong_aug,gaussian_noise,2,0.8424535505217613
123,strong_aug,gaussian_noise,3,0.8391448205650293
123,strong_aug,gaussian_noise,4,0.8340544667854416
123,strong_aug,gaussian_noise,5,0.8322728429625859
123,strong_aug,blur,1,0.8551794349707305
123,strong_aug,blur,2,0.8455077627895139
123,strong_aug,blur,3,0.8485619750572665
123,strong_aug,blur,4,0.8185288877576992
123,strong_aug,blur,5,0.7836599643675235
123,strong_aug,brightness,1,0.8523797403919572
123,strong_aug,brightness,2,0.8516161873250191
123,strong_aug,brightness,3,0.8503435988801221
123,strong_aug,brightness,4,0.8503435988801221
123,strong_aug,brightness,5,0.8503435988801221
123,strong_aug,contrast,1,0.8528887757699161
123,strong_aug,contrast,2,0.8500890811911428
123,strong_aug,contrast,3,0.8485619750572665
123,strong_aug,contrast,4,0.8444896920335964
123,strong_aug,contrast,5,0.8439806566556376
123,strong_aug,jpeg,1,0.8556884703486892
123,strong_aug,jpeg,2,0.8533978111478748
123,strong_aug,jpeg,3,0.8533978111478748
123,strong_aug,jpeg,4,0.8544158819037924
123,strong_aug,jpeg,5,0.8569610587935862
123,feature_plus_kl,gaussian_noise,1,0.8386357851870705
123,feature_plus_kl,gaussian_noise,2,0.8345635021634004
123,feature_plus_kl,gaussian_noise,3,0.8271824891829982
123,feature_plus_kl,gaussian_noise,4,0.8231102061593281
123,feature_plus_kl,gaussian_noise,5,0.8185288877576992
123,feature_plus_kl,blur,1,0.8523797403919572
123,feature_plus_kl,blur,2,0.8399083736319675
123,feature_plus_kl,blur,3,0.8337999490964622
123,feature_plus_kl,blur,4,0.8256553830491219
123,feature_plus_kl,blur,5,0.8185288877576992
123,feature_plus_kl,brightness,1,0.847543904301349
123,feature_plus_kl,brightness,2,0.8442351743446169
123,feature_plus_kl,brightness,3,0.8439806566556376
123,feature_plus_kl,brightness,4,0.8416899974548231
123,feature_plus_kl,brightness,5,0.8393993382540087
123,feature_plus_kl,contrast,1,0.846271315856452
123,feature_plus_kl,contrast,2,0.8442351743446169
123,feature_plus_kl,contrast,3,0.839653855942988
123,feature_plus_kl,contrast,4,0.8332909137185034
123,feature_plus_kl,contrast,5,0.8251463476711631
123,feature_plus_kl,jpeg,1,0.8536523288368542
123,feature_plus_kl,jpeg,2,0.8516161873250191
123,feature_plus_kl,jpeg,3,0.8513616696360397
123,feature_plus_kl,jpeg,4,0.8508526342580809
123,feature_plus_kl,jpeg,5,0.8500890811911428
3407,strong_aug,gaussian_noise,1,0.8098752863324001
3407,strong_aug,gaussian_noise,2,0.8086026978875032
3407,strong_aug,gaussian_noise,3,0.8096207686434207
3407,strong_aug,gaussian_noise,4,0.8096207686434207
3407,strong_aug,gaussian_noise,5,0.8101298040213795
3407,strong_aug,blur,1,0.8294731483838127
3407,strong_aug,blur,2,0.8332909137185034
3407,strong_aug,blur,3,0.8279460422499364
3407,strong_aug,blur,4,0.80580300330873
3407,strong_aug,blur,5,0.782641893611606
3407,strong_aug,brightness,1,0.811147874777297
3407,strong_aug,brightness,2,0.8055484856197506
3407,strong_aug,brightness,3,0.8055484856197506
3407,strong_aug,brightness,4,0.80580300330873
3407,strong_aug,brightness,5,0.8040213794858743
3407,strong_aug,contrast,1,0.8154746754899466
3407,strong_aug,contrast,2,0.8139475693560703
3407,strong_aug,contrast,3,0.8131840162891321
3407,strong_aug,contrast,4,0.8096207686434207
3407,strong_aug,contrast,5,0.80580300330873
3407,strong_aug,jpeg,1,0.8187834054466785
3407,strong_aug,jpeg,2,0.8187834054466785
3407,strong_aug,jpeg,3,0.8213285823364724
3407,strong_aug,jpeg,4,0.8233647238483075
3407,strong_aug,jpeg,5,0.8320183252736065
3407,feature_plus_kl,gaussian_noise,1,0.8635785187070502
3407,feature_plus_kl,gaussian_noise,2,0.8544158819037924
3407,feature_plus_kl,gaussian_noise,3,0.8523797403919572
3407,feature_plus_kl,gaussian_noise,4,0.849580045813184
3407,feature_plus_kl,gaussian_noise,5,0.846271315856452
3407,feature_plus_kl,blur,1,0.866123695596844
3407,feature_plus_kl,blur,2,0.8640875540850089
