seed,method,corruption,severity,accuracy
123,strong_aug,gaussian_noise,1,0.846271315856452
123,strong_aug,gaussian_noise,2,0.8424535505217613
123,strong_aug,gaussian_noise,3,0.8391448205650293
123,strong_aug,gaussian_noise,4,0.8340544667854416
123,strong_aug,gaussian_noise,5,0.8322728429625859
123,strong_aug,blur,1,0.8551794349707305
123,strong_aug,blur,2,0.8455077627895139
123,strong_aug,blur,3,0.8485619750572665
123,strong_aug,blur,4,0.8185288877576992
123,strong_aug,blur,5,0.7836599643675235
123,strong_aug,brightness,1,0.8523797403919572
123,strong_aug,brightness,2,0.8516161873250191
123,strong_aug,brightness,3,0.8503435988801221
123,strong_aug,brightness,4,0.8503435988801221
123,strong_aug,brightness,5,0.8503435988801221
123,strong_aug,contrast,1,0.8528887757699161
123,strong_aug,contrast,2,0.8500890811911428
123,strong_aug,contrast,3,0.8485619750572665
123,strong_aug,contrast,4,0.8444896920335964
123,strong_aug,contrast,5,0.8439806566556376
123,strong_aug,jpeg,1,0.8556884703486892
123,strong_aug,jpeg,2,0.8533978111478748
123,strong_aug,jpeg,3,0.8533978111478748
123,strong_aug,jpeg,4,0.8544158819037924
123,strong_aug,jpeg,5,0.8569610587935862
123,feature_plus_kl,gaussian_noise,1,0.8386357851870705
123,feature_plus_kl,gaussian_noise,2,0.8345635021634004
123,feature_plus_kl,gaussian_noise,3,0.8271824891829982
123,feature_plus_kl,gaussian_noise,4,0.8231102061593281
123,feature_plus_kl,gaussian_noise,5,0.8185288877576992
123,feature_plus_kl,blur,1,0.8523797403919572
123,feature_plus_kl,blur,2,0.8399083736319675
123,feature_plus_kl,blur,3,0.8337999490964622
123,feature_plus_kl,blur,4,0.8256553830491219
123,feature_plus_kl,blur,5,0.8185288877576992
123,feature_plus_kl,brightness,1,0.847543904301349
123,feature_plus_kl,brightness,2,0.8442351743446169
123,feature_plus_kl,brightness,3,0.8439806566556376
123,feature_plus_kl,brightness,4,0.8416899974548231
123,feature_plus_kl,brightness,5,0.8393993382540087
123,feature_plus_kl,contrast,1,0.846271315856452
123,feature_plus_kl,contrast,2,0.8442351743446169
123,feature_plus_kl,contrast,3,0.839653855942988
123,feature_plus_kl,contrast,4,0.8332909137185034
123,feature_plus_kl,contrast,5,0.8251463476711631
123,feature_plus_kl,jpeg,1,0.8536523288368542
123,feature_plus_kl,jpeg,2,0.8516161873250191
123,feature_plus_kl,jpeg,3,0.8513616696360397
123,feature_plus_kl,jpeg,4,0.8508526342580809
123,feature_plus_kl,jpeg,5,0.8500890811911428
