experiment_id,priority,experiment_group,dataset,target,method,model,seed,selection_protocol,train_domains,validation_domain,epochs,batch_size,result_path,diagnostics_path,save_checkpoint,status,gpu,attempts,exit_code,error
formal_pacs_resnet50_cgc_Photo_42,10,formal_cgc,pacs,Photo,cgc,resnet50,42,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/pacs/resnet50/cgc/Photo/42/pacs_Photo_resnet50_cgc_seed42.json,results/cgc_diagnostics/formal_cgc/pacs/resnet50/cgc/Photo/42,1,complete,0,1,0,
formal_pacs_resnet50_cgc_Photo_123,10,formal_cgc,pacs,Photo,cgc,resnet50,123,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/pacs/resnet50/cgc/Photo/123/pacs_Photo_resnet50_cgc_seed123.json,results/cgc_diagnostics/formal_cgc/pacs/resnet50/cgc/Photo/123,1,complete,0,1,0,
formal_pacs_resnet50_cgc_Photo_3407,10,formal_cgc,pacs,Photo,cgc,resnet50,3407,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/pacs/resnet50/cgc/Photo/3407/pacs_Photo_resnet50_cgc_seed3407.json,results/cgc_diagnostics/formal_cgc/pacs/resnet50/cgc/Photo/3407,1,complete,0,1,0,
formal_pacs_resnet50_cgc_Photo_2026,10,formal_cgc,pacs,Photo,cgc,resnet50,2026,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/pacs/resnet50/cgc/Photo/2026/pacs_Photo_resnet50_cgc_seed2026.json,results/cgc_diagnostics/formal_cgc/pacs/resnet50/cgc/Photo/2026,1,complete,0,1,0,
formal_pacs_resnet50_cgc_Photo_2027,10,formal_cgc,pacs,Photo,cgc,resnet50,2027,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/pacs/resnet50/cgc/Photo/2027/pacs_Photo_resnet50_cgc_seed2027.json,results/cgc_diagnostics/formal_cgc/pacs/resnet50/cgc/Photo/2027,1,complete,1,1,0,
formal_pacs_resnet50_cgc_Art_Painting_42,10,formal_cgc,pacs,Art_Painting,cgc,resnet50,42,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/pacs/resnet50/cgc/Art_Painting/42/pacs_Art_Painting_resnet50_cgc_seed42.json,results/cgc_diagnostics/formal_cgc/pacs/resnet50/cgc/Art_Painting/42,1,complete,1,1,0,
formal_pacs_resnet50_cgc_Art_Painting_123,10,formal_cgc,pacs,Art_Painting,cgc,resnet50,123,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/pacs/resnet50/cgc/Art_Painting/123/pacs_Art_Painting_resnet50_cgc_seed123.json,results/cgc_diagnostics/formal_cgc/pacs/resnet50/cgc/Art_Painting/123,1,complete,1,1,0,
formal_pacs_resnet50_cgc_Art_Painting_3407,10,formal_cgc,pacs,Art_Painting,cgc,resnet50,3407,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/pacs/resnet50/cgc/Art_Painting/3407/pacs_Art_Painting_resnet50_cgc_seed3407.json,results/cgc_diagnostics/formal_cgc/pacs/resnet50/cgc/Art_Painting/3407,1,complete,1,1,0,
formal_pacs_resnet50_cgc_Art_Painting_2026,10,formal_cgc,pacs,Art_Painting,cgc,resnet50,2026,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/pacs/resnet50/cgc/Art_Painting/2026/pacs_Art_Painting_resnet50_cgc_seed2026.json,results/cgc_diagnostics/formal_cgc/pacs/resnet50/cgc/Art_Painting/2026,1,complete,2,1,0,
formal_pacs_resnet50_cgc_Art_Painting_2027,10,formal_cgc,pacs,Art_Painting,cgc,resnet50,2027,fixed_source_validation,,,30,64,runs/cgc_v2/formal_cgc/pacs/resnet50/cgc/Art_Painting/2027/pacs_Art_Painting_resnet50_cgc_seed2027.json,results/cgc_diagnostics/formal_cgc/pacs/resnet50/cgc/Art_Painting/2027,1,complete,2,1,0,
