experiment_id,protocol_version,dataset,data_root,outer_target,method,seed,lambda_f,lambda_k,temperature,augmentation_M,selection_protocol,config_hash,status,result_path,checkpoint_path,gpu,exit_code
mixstyle-pacs-Photo-seed42,shiftguard-mixstyle-v1.0,pacs,data/PACS,Photo,mixstyle,42,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,00294bd8ace52dd405503b6215aa2d001ef56f3813824aeb3b6bc463820bd545,complete,runs/revision/mixstyle/pacs/Photo/42/pacs_Photo_resnet50_mixstyle_seed42.json,runs/revision/mixstyle/pacs/Photo/42/pacs_Photo_resnet50_mixstyle_seed42.pt,1,0
mixstyle-pacs-Photo-seed123,shiftguard-mixstyle-v1.0,pacs,data/PACS,Photo,mixstyle,123,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,c6f9207de0e4c58e21cf8b86a5fa4450ce4c61d3b138f4106a0146580f19df3d,complete,runs/revision/mixstyle/pacs/Photo/123/pacs_Photo_resnet50_mixstyle_seed123.json,runs/revision/mixstyle/pacs/Photo/123/pacs_Photo_resnet50_mixstyle_seed123.pt,2,0
mixstyle-pacs-Photo-seed3407,shiftguard-mixstyle-v1.0,pacs,data/PACS,Photo,mixstyle,3407,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,ab414cf0bc5a08cd5d6ab38ce2c35a3e31674fc52edb53f1c0179b3c8513134f,complete,runs/revision/mixstyle/pacs/Photo/3407/pacs_Photo_resnet50_mixstyle_seed3407.json,runs/revision/mixstyle/pacs/Photo/3407/pacs_Photo_resnet50_mixstyle_seed3407.pt,1,0
mixstyle-pacs-Photo-seed2026,shiftguard-mixstyle-v1.0,pacs,data/PACS,Photo,mixstyle,2026,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,92dd8e6270e26ae82e9e3ac68182d23c39715e9adeb303aa2cd7f4a2333f97b3,complete,runs/revision/mixstyle/pacs/Photo/2026/pacs_Photo_resnet50_mixstyle_seed2026.json,runs/revision/mixstyle/pacs/Photo/2026/pacs_Photo_resnet50_mixstyle_seed2026.pt,2,0
mixstyle-pacs-Photo-seed2027,shiftguard-mixstyle-v1.0,pacs,data/PACS,Photo,mixstyle,2027,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,9207f2c52b30ebefc4c51b484dbc70e3570c676f529dc7fce34d2698247e4400,complete,runs/revision/mixstyle/pacs/Photo/2027/pacs_Photo_resnet50_mixstyle_seed2027.json,runs/revision/mixstyle/pacs/Photo/2027/pacs_Photo_resnet50_mixstyle_seed2027.pt,1,0
mixstyle-pacs-Art_Painting-seed42,shiftguard-mixstyle-v1.0,pacs,data/PACS,Art_Painting,mixstyle,42,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,5d2a68b59b59e4e84735c44f9f85fa9cdf4d00563d1c1eb5d0087db44ae6ed66,complete,runs/revision/mixstyle/pacs/Art_Painting/42/pacs_Art_Painting_resnet50_mixstyle_seed42.json,runs/revision/mixstyle/pacs/Art_Painting/42/pacs_Art_Painting_resnet50_mixstyle_seed42.pt,2,0
mixstyle-pacs-Art_Painting-seed123,shiftguard-mixstyle-v1.0,pacs,data/PACS,Art_Painting,mixstyle,123,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,e828675e7b527a22ebe3bc5303ce8606761e3f16aa0453a01689cea2fca00db8,complete,runs/revision/mixstyle/pacs/Art_Painting/123/pacs_Art_Painting_resnet50_mixstyle_seed123.json,runs/revision/mixstyle/pacs/Art_Painting/123/pacs_Art_Painting_resnet50_mixstyle_seed123.pt,1,0
mixstyle-pacs-Art_Painting-seed3407,shiftguard-mixstyle-v1.0,pacs,data/PACS,Art_Painting,mixstyle,3407,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,d10291adeaed98181209d0baa2aa109bc0042b890e1d1dd121e8b69350b26d8c,complete,runs/revision/mixstyle/pacs/Art_Painting/3407/pacs_Art_Painting_resnet50_mixstyle_seed3407.json,runs/revision/mixstyle/pacs/Art_Painting/3407/pacs_Art_Painting_resnet50_mixstyle_seed3407.pt,2,0
mixstyle-pacs-Art_Painting-seed2026,shiftguard-mixstyle-v1.0,pacs,data/PACS,Art_Painting,mixstyle,2026,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,93d4f2a2dda1af8e6fe6f36795689f8eb9b259a12e46fc507611478aca2e71ef,complete,runs/revision/mixstyle/pacs/Art_Painting/2026/pacs_Art_Painting_resnet50_mixstyle_seed2026.json,runs/revision/mixstyle/pacs/Art_Painting/2026/pacs_Art_Painting_resnet50_mixstyle_seed2026.pt,2,0
mixstyle-pacs-Art_Painting-seed2027,shiftguard-mixstyle-v1.0,pacs,data/PACS,Art_Painting,mixstyle,2027,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,0175f17c7fffefffc5cc902e547c81375f5ec3d0c7542b3726fc1191aa4011d4,complete,runs/revision/mixstyle/pacs/Art_Painting/2027/pacs_Art_Painting_resnet50_mixstyle_seed2027.json,runs/revision/mixstyle/pacs/Art_Painting/2027/pacs_Art_Painting_resnet50_mixstyle_seed2027.pt,1,0
mixstyle-pacs-Cartoon-seed42,shiftguard-mixstyle-v1.0,pacs,data/PACS,Cartoon,mixstyle,42,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,670fb48ad59eac58680ef470fd598db58d45126b28e9e523d4acbad88259e186,complete,runs/revision/mixstyle/pacs/Cartoon/42/pacs_Cartoon_resnet50_mixstyle_seed42.json,runs/revision/mixstyle/pacs/Cartoon/42/pacs_Cartoon_resnet50_mixstyle_seed42.pt,2,0
mixstyle-pacs-Cartoon-seed123,shiftguard-mixstyle-v1.0,pacs,data/PACS,Cartoon,mixstyle,123,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,47a9bf46d338d5f0be0394a90af3182664be2d940f4ad474b8500bb185693d7a,complete,runs/revision/mixstyle/pacs/Cartoon/123/pacs_Cartoon_resnet50_mixstyle_seed123.json,runs/revision/mixstyle/pacs/Cartoon/123/pacs_Cartoon_resnet50_mixstyle_seed123.pt,1,0
mixstyle-pacs-Cartoon-seed3407,shiftguard-mixstyle-v1.0,pacs,data/PACS,Cartoon,mixstyle,3407,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,84e53d3c6219f410e88dd822c38e06c9a9f0de27e2e64e28866806d6b9882afb,complete,runs/revision/mixstyle/pacs/Cartoon/3407/pacs_Cartoon_resnet50_mixstyle_seed3407.json,runs/revision/mixstyle/pacs/Cartoon/3407/pacs_Cartoon_resnet50_mixstyle_seed3407.pt,2,0
mixstyle-pacs-Cartoon-seed2026,shiftguard-mixstyle-v1.0,pacs,data/PACS,Cartoon,mixstyle,2026,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,f28dbfbceff052177f33379beae55e8a267140a22bceca61a7a7592ab100438c,complete,runs/revision/mixstyle/pacs/Cartoon/2026/pacs_Cartoon_resnet50_mixstyle_seed2026.json,runs/revision/mixstyle/pacs/Cartoon/2026/pacs_Cartoon_resnet50_mixstyle_seed2026.pt,1,0
mixstyle-pacs-Cartoon-seed2027,shiftguard-mixstyle-v1.0,pacs,data/PACS,Cartoon,mixstyle,2027,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,21d00fc421a08e98b80bb1b870ef209597caef4f3cba7b534cd5e0fe8a2cafff,complete,runs/revision/mixstyle/pacs/Cartoon/2027/pacs_Cartoon_resnet50_mixstyle_seed2027.json,runs/revision/mixstyle/pacs/Cartoon/2027/pacs_Cartoon_resnet50_mixstyle_seed2027.pt,2,0
mixstyle-pacs-Sketch-seed42,shiftguard-mixstyle-v1.0,pacs,data/PACS,Sketch,mixstyle,42,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,9e7049f1c937383538a8b7262b74c3ee5a1589de4decf402078f1449c1d0e91c,complete,runs/revision/mixstyle/pacs/Sketch/42/pacs_Sketch_resnet50_mixstyle_seed42.json,runs/revision/mixstyle/pacs/Sketch/42/pacs_Sketch_resnet50_mixstyle_seed42.pt,1,0
mixstyle-pacs-Sketch-seed123,shiftguard-mixstyle-v1.0,pacs,data/PACS,Sketch,mixstyle,123,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,794fe414af7c4de58c7d60b809835d1553961c6d0ccc151de00f6e9eba5241d7,complete,runs/revision/mixstyle/pacs/Sketch/123/pacs_Sketch_resnet50_mixstyle_seed123.json,runs/revision/mixstyle/pacs/Sketch/123/pacs_Sketch_resnet50_mixstyle_seed123.pt,2,0
mixstyle-pacs-Sketch-seed3407,shiftguard-mixstyle-v1.0,pacs,data/PACS,Sketch,mixstyle,3407,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,f0115054b5da6c6c810c76d8d84c46f393509aaf64a33d030d200b66f0c902e7,complete,runs/revision/mixstyle/pacs/Sketch/3407/pacs_Sketch_resnet50_mixstyle_seed3407.json,runs/revision/mixstyle/pacs/Sketch/3407/pacs_Sketch_resnet50_mixstyle_seed3407.pt,1,0
mixstyle-pacs-Sketch-seed2026,shiftguard-mixstyle-v1.0,pacs,data/PACS,Sketch,mixstyle,2026,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,6bc9e82a1b9a9eb16fc5d37d87423adfba9b2e6bec1db4626734d1b8cf71ee68,complete,runs/revision/mixstyle/pacs/Sketch/2026/pacs_Sketch_resnet50_mixstyle_seed2026.json,runs/revision/mixstyle/pacs/Sketch/2026/pacs_Sketch_resnet50_mixstyle_seed2026.pt,2,0
