experiment_id,experiment_group,protocol_version,dataset,data_root,outer_target,method,trainer_method,backbone,seed,optimization_seed,source_split_seed,sweep,factor_value,lambda_f,lambda_k,temperature,augmentation_M,selection_protocol,config_hash,dataset_fingerprint,status,result_path,checkpoint_path,gpu,exit_code,rerun_reason
sensitivity-lambda_f_0p05-Photo-seed42,P1_compact_sensitivity,shiftguard-compact-sensitivity-v1.0,PACS,data/PACS,Photo,feature_plus_kl,feat_kl,torchvision:resnet50:IMAGENET1K_V2,42,42,42,lambda_f,0.05,0.05,0.05,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,b5dde0d6ba06d928348668d829899477b0565d77f45a62dd685b3aa2aaca6656,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/sensitivity/lambda_f/lambda_f_0p05/Photo/42/Photo_resnet50_lambda_f_0p05_seed42.json,runs/revision/sensitivity/lambda_f/lambda_f_0p05/Photo/42/Photo_resnet50_lambda_f_0p05_seed42.pt,1,0,
sensitivity-lambda_f_0p05-Art_Painting-seed42,P1_compact_sensitivity,shiftguard-compact-sensitivity-v1.0,PACS,data/PACS,Art_Painting,feature_plus_kl,feat_kl,torchvision:resnet50:IMAGENET1K_V2,42,42,42,lambda_f,0.05,0.05,0.05,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,804c2e1bef9bd9467040fefe9d01d33d8a9310b9ae000a1b593034169de59659,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/sensitivity/lambda_f/lambda_f_0p05/Art_Painting/42/Art_Painting_resnet50_lambda_f_0p05_seed42.json,runs/revision/sensitivity/lambda_f/lambda_f_0p05/Art_Painting/42/Art_Painting_resnet50_lambda_f_0p05_seed42.pt,1,0,
sensitivity-lambda_f_0p05-Cartoon-seed42,P1_compact_sensitivity,shiftguard-compact-sensitivity-v1.0,PACS,data/PACS,Cartoon,feature_plus_kl,feat_kl,torchvision:resnet50:IMAGENET1K_V2,42,42,42,lambda_f,0.05,0.05,0.05,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,c0a6241e8bf089461dc4de66569433cf13102705c543e54b9bf28bde6cb225ce,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/sensitivity/lambda_f/lambda_f_0p05/Cartoon/42/Cartoon_resnet50_lambda_f_0p05_seed42.json,runs/revision/sensitivity/lambda_f/lambda_f_0p05/Cartoon/42/Cartoon_resnet50_lambda_f_0p05_seed42.pt,1,0,
sensitivity-lambda_f_0p05-Sketch-seed42,P1_compact_sensitivity,shiftguard-compact-sensitivity-v1.0,PACS,data/PACS,Sketch,feature_plus_kl,feat_kl,torchvision:resnet50:IMAGENET1K_V2,42,42,42,lambda_f,0.05,0.05,0.05,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,172a96fe13809abfb4697d9609f56985c82468fb944553b64fbe0a57c70c1779,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/sensitivity/lambda_f/lambda_f_0p05/Sketch/42/Sketch_resnet50_lambda_f_0p05_seed42.json,runs/revision/sensitivity/lambda_f/lambda_f_0p05/Sketch/42/Sketch_resnet50_lambda_f_0p05_seed42.pt,1,0,
sensitivity-lambda_f_0p20-Photo-seed42,P1_compact_sensitivity,shiftguard-compact-sensitivity-v1.0,PACS,data/PACS,Photo,feature_plus_kl,feat_kl,torchvision:resnet50:IMAGENET1K_V2,42,42,42,lambda_f,0.20,0.2,0.05,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,e5d3650b140b561d79fe6a0fbd362439b2de77c764c42a92cb0ebfaf4e01ff16,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/sensitivity/lambda_f/lambda_f_0p20/Photo/42/Photo_resnet50_lambda_f_0p20_seed42.json,runs/revision/sensitivity/lambda_f/lambda_f_0p20/Photo/42/Photo_resnet50_lambda_f_0p20_seed42.pt,1,0,
sensitivity-lambda_f_0p20-Art_Painting-seed42,P1_compact_sensitivity,shiftguard-compact-sensitivity-v1.0,PACS,data/PACS,Art_Painting,feature_plus_kl,feat_kl,torchvision:resnet50:IMAGENET1K_V2,42,42,42,lambda_f,0.20,0.2,0.05,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,0aba99af91611b837c201c29d53db33bb2080a31f886da92a1529c08f8c2e127,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/sensitivity/lambda_f/lambda_f_0p20/Art_Painting/42/Art_Painting_resnet50_lambda_f_0p20_seed42.json,runs/revision/sensitivity/lambda_f/lambda_f_0p20/Art_Painting/42/Art_Painting_resnet50_lambda_f_0p20_seed42.pt,1,0,
sensitivity-lambda_f_0p20-Cartoon-seed42,P1_compact_sensitivity,shiftguard-compact-sensitivity-v1.0,PACS,data/PACS,Cartoon,feature_plus_kl,feat_kl,torchvision:resnet50:IMAGENET1K_V2,42,42,42,lambda_f,0.20,0.2,0.05,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,bc2fe624ee15a54075679705158ba8ebd67b0c1754d2cfa28d0d8fb8c98906a0,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/sensitivity/lambda_f/lambda_f_0p20/Cartoon/42/Cartoon_resnet50_lambda_f_0p20_seed42.json,runs/revision/sensitivity/lambda_f/lambda_f_0p20/Cartoon/42/Cartoon_resnet50_lambda_f_0p20_seed42.pt,1,0,
sensitivity-lambda_f_0p20-Sketch-seed42,P1_compact_sensitivity,shiftguard-compact-sensitivity-v1.0,PACS,data/PACS,Sketch,feature_plus_kl,feat_kl,torchvision:resnet50:IMAGENET1K_V2,42,42,42,lambda_f,0.20,0.2,0.05,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,d8850b8e83a79389fcb9a62502a72090a5f5fbab4a03328c66ef90cc891262f7,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/sensitivity/lambda_f/lambda_f_0p20/Sketch/42/Sketch_resnet50_lambda_f_0p20_seed42.json,runs/revision/sensitivity/lambda_f/lambda_f_0p20/Sketch/42/Sketch_resnet50_lambda_f_0p20_seed42.pt,1,0,
sensitivity-lambda_k_0p025-Photo-seed42,P1_compact_sensitivity,shiftguard-compact-sensitivity-v1.0,PACS,data/PACS,Photo,feature_plus_kl,feat_kl,torchvision:resnet50:IMAGENET1K_V2,42,42,42,lambda_k,0.025,0.1,0.025,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,4c97cf753795b6c1181742ebeafaad5c5a6d619244e5c8ae07fb46137a5534d2,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/sensitivity/lambda_k/lambda_k_0p025/Photo/42/Photo_resnet50_lambda_k_0p025_seed42.json,runs/revision/sensitivity/lambda_k/lambda_k_0p025/Photo/42/Photo_resnet50_lambda_k_0p025_seed42.pt,1,0,
sensitivity-lambda_k_0p025-Art_Painting-seed42,P1_compact_sensitivity,shiftguard-compact-sensitivity-v1.0,PACS,data/PACS,Art_Painting,feature_plus_kl,feat_kl,torchvision:resnet50:IMAGENET1K_V2,42,42,42,lambda_k,0.025,0.1,0.025,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,6e873ec9654d0713d1dfe5b0e476bfee4baeba19f4d793d4346cf7d3522bb1d6,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/sensitivity/lambda_k/lambda_k_0p025/Art_Painting/42/Art_Painting_resnet50_lambda_k_0p025_seed42.json,runs/revision/sensitivity/lambda_k/lambda_k_0p025/Art_Painting/42/Art_Painting_resnet50_lambda_k_0p025_seed42.pt,1,0,
