dataset,method,macro_mean,macro_sample_sd,n_seeds
pacs,strong_aug,86.81037205510363,0.6255805555510648,5
pacs,feature_plus_kl,87.19437948107071,0.8306449439339627,5
pacs,mixstyle,83.76555245387677,0.9621611395455941,5
pacs,swad_epoch,84.2533425221686,1.3414760084046928,5
vlcs,erm,74.7959013820038,0.9268889066623787,5
vlcs,strong_aug,76.51303966980568,1.314029911742591,5
vlcs,feature_plus_kl,76.33533145357391,0.8207027827680918,5
vlcs,mixstyle,75.38778271836048,1.3340876492812714,5
vlcs,swad_epoch,78.39772525011706,0.5535126506658069,5
officehome,erm,63.69431869507434,0.5264492398228034,5
officehome,strong_aug,66.41527014654497,0.5425653492966895,5
officehome,feature_plus_kl,66.630361804919,0.21044661458707792,5
officehome,mixstyle,64.34484686150039,0.5433727104637363,5
officehome,swad_epoch,65.97520403469207,0.3326399930999224,5
