sweep,value,seed,source_validation_macro,Photo,Art_Painting,Cartoon,Sketch,target_macro,reused_default
lambda_f,0.05,42,98.196090394667,96.88622754491017,83.935546875,86.04948805460751,86.56146602188852,88.35818212410155,False
lambda_f,0.10,42,97.98408236177453,96.40718562874252,80.37109375,83.87372013651877,84.75439043013489,86.35159748634905,True
lambda_f,0.20,42,97.9274176546967,96.10778443113772,84.228515625,83.48976109215018,86.25604479511327,87.5205264858503,False
lambda_k,0.025,42,97.976262076361,96.10778443113772,84.423828125,83.06313993174061,85.84881649274625,87.36089224515615,False
lambda_k,0.05,42,97.98408236177453,96.40718562874252,80.37109375,83.87372013651877,84.75439043013489,86.35159748634905,True
lambda_k,0.10,42,98.0999276106515,96.88622754491017,84.228515625,84.25767918088737,82.28556884703487,86.9144977994581,False
temperature,1,42,98.07253657318438,96.40718562874252,84.814453125,83.40443686006826,84.42351743446169,87.26239826206812,False
temperature,2,42,97.98408236177453,96.40718562874252,80.37109375,83.87372013651877,84.75439043013489,86.35159748634905,True
temperature,4,42,97.98516482547247,96.04790419161677,86.1328125,83.06313993174061,84.85619750572666,87.525013532271,False
augmentation_M,5,42,97.95340638376692,95.62874251497006,83.251953125,79.47952218430035,86.38330363960294,86.18588036596833,False
augmentation_M,9,42,97.98408236177453,96.40718562874252,80.37109375,83.87372013651877,84.75439043013489,86.35159748634905,True
augmentation_M,13,42,98.00391001195896,96.52694610778443,83.935546875,81.39931740614334,83.43089844744209,86.32317720909246,False
