experiment_id,protocol_version,dataset,data_root,outer_target,method,seed,lambda_f,lambda_k,temperature,augmentation_M,selection_protocol,config_hash,status,result_path,checkpoint_path,gpu,exit_code
swad-pacs-Photo-seed42,shiftguard-swad-v1.0,pacs,data/PACS,Photo,swad,42,0.0,0.0,2.0,9,source_validation_loss_valley,c0e14fbec3070b6fe7e1893008cd9eafdc663b106f8a57f722d2002985f9e806,complete,runs/revision/swad/pacs/Photo/42/pacs_Photo_resnet50_swad_seed42.json,runs/revision/swad/pacs/Photo/42/pacs_Photo_resnet50_swad_seed42.pt,1,0
swad-pacs-Photo-seed123,shiftguard-swad-v1.0,pacs,data/PACS,Photo,swad,123,0.0,0.0,2.0,9,source_validation_loss_valley,a85b6f17716af6bd0cc90d96353685941ea1e5076761b8125cd7618bc007babc,complete,runs/revision/swad/pacs/Photo/123/pacs_Photo_resnet50_swad_seed123.json,runs/revision/swad/pacs/Photo/123/pacs_Photo_resnet50_swad_seed123.pt,2,0
swad-pacs-Photo-seed3407,shiftguard-swad-v1.0,pacs,data/PACS,Photo,swad,3407,0.0,0.0,2.0,9,source_validation_loss_valley,101175ab2ab66eb3169eebedd5f40b9d6f15c87fccca62d5d37cb3a7b5848f33,complete,runs/revision/swad/pacs/Photo/3407/pacs_Photo_resnet50_swad_seed3407.json,runs/revision/swad/pacs/Photo/3407/pacs_Photo_resnet50_swad_seed3407.pt,2,0
swad-pacs-Photo-seed2026,shiftguard-swad-v1.0,pacs,data/PACS,Photo,swad,2026,0.0,0.0,2.0,9,source_validation_loss_valley,1ef1bd40a4af5891c574b28787ac95d810c0b58105c03229255deec0e685d03f,complete,runs/revision/swad/pacs/Photo/2026/pacs_Photo_resnet50_swad_seed2026.json,runs/revision/swad/pacs/Photo/2026/pacs_Photo_resnet50_swad_seed2026.pt,1,0
swad-pacs-Photo-seed2027,shiftguard-swad-v1.0,pacs,data/PACS,Photo,swad,2027,0.0,0.0,2.0,9,source_validation_loss_valley,b326d193446986f5bcc076d2f14e32e7f3fc0e5829140b2c996adc6e4101a2af,complete,runs/revision/swad/pacs/Photo/2027/pacs_Photo_resnet50_swad_seed2027.json,runs/revision/swad/pacs/Photo/2027/pacs_Photo_resnet50_swad_seed2027.pt,2,0
swad-pacs-Art_Painting-seed42,shiftguard-swad-v1.0,pacs,data/PACS,Art_Painting,swad,42,0.0,0.0,2.0,9,source_validation_loss_valley,bf0c0df5e4aa5938d8b7a49ba08837ed785100aec536e3a5bbc3fab7267e248a,complete,runs/revision/swad/pacs/Art_Painting/42/pacs_Art_Painting_resnet50_swad_seed42.json,runs/revision/swad/pacs/Art_Painting/42/pacs_Art_Painting_resnet50_swad_seed42.pt,1,0
swad-pacs-Art_Painting-seed123,shiftguard-swad-v1.0,pacs,data/PACS,Art_Painting,swad,123,0.0,0.0,2.0,9,source_validation_loss_valley,b32731807c4602fcb4509652618b794ae2eb1585509df4539e4614ed1a980876,complete,runs/revision/swad/pacs/Art_Painting/123/pacs_Art_Painting_resnet50_swad_seed123.json,runs/revision/swad/pacs/Art_Painting/123/pacs_Art_Painting_resnet50_swad_seed123.pt,2,0
swad-pacs-Art_Painting-seed3407,shiftguard-swad-v1.0,pacs,data/PACS,Art_Painting,swad,3407,0.0,0.0,2.0,9,source_validation_loss_valley,2da14951af425ba0af420946d286b137f8173bd186e1a769bd3cd05b5cde1b07,complete,runs/revision/swad/pacs/Art_Painting/3407/pacs_Art_Painting_resnet50_swad_seed3407.json,runs/revision/swad/pacs/Art_Painting/3407/pacs_Art_Painting_resnet50_swad_seed3407.pt,1,0
swad-pacs-Art_Painting-seed2026,shiftguard-swad-v1.0,pacs,data/PACS,Art_Painting,swad,2026,0.0,0.0,2.0,9,source_validation_loss_valley,62576411e65a5ee7f2a7876835e899e37927cc529389ac2800f83d4e34523cbd,complete,runs/revision/swad/pacs/Art_Painting/2026/pacs_Art_Painting_resnet50_swad_seed2026.json,runs/revision/swad/pacs/Art_Painting/2026/pacs_Art_Painting_resnet50_swad_seed2026.pt,2,0
swad-pacs-Art_Painting-seed2027,shiftguard-swad-v1.0,pacs,data/PACS,Art_Painting,swad,2027,0.0,0.0,2.0,9,source_validation_loss_valley,9b0fea17f6e764c16556ed0f20ca24c9d03a43fba8cad2d5f5e1f054da8170d0,complete,runs/revision/swad/pacs/Art_Painting/2027/pacs_Art_Painting_resnet50_swad_seed2027.json,runs/revision/swad/pacs/Art_Painting/2027/pacs_Art_Painting_resnet50_swad_seed2027.pt,1,0
