target,method,model,seed,best_source_val,target_accuracy,target_loss,n_train,n_val,n_test
Photo,coral,resnet50,42,0.9831730769230769,0.9610778443113772,0.1332768946954204,7073,1248,1670
Photo,coral,resnet50,123,0.9807692307692307,0.9682634730538923,0.11249160610500467,7073,1248,1670
Photo,coral,resnet50,3407,0.9815705128205128,0.9610778443113772,0.15011025723606672,7073,1248,1670
Art_Painting,coral,resnet50,42,0.9731318219983207,0.8154296875,0.7030679208692163,6752,1191,2048
Art_Painting,coral,resnet50,3407,0.9848866498740554,0.8291015625,0.6632678275927901,6752,1191,2048
Art_Painting,coral,resnet50,123,0.9832073887489504,0.84130859375,0.7296424540691078,6752,1191,2048
Cartoon,coral,resnet50,42,0.9860383944153578,0.8408703071672355,0.6600337788055781,6501,1146,2344
Cartoon,coral,resnet50,3407,0.9842931937172775,0.8430034129692833,0.639587152456871,6501,1146,2344
Cartoon,coral,resnet50,123,0.9773123909249564,0.8135665529010239,0.761384877633723,6501,1146,2344
Sketch,coral,resnet50,42,0.9900990099009901,0.8442351743446169,0.5673342986602681,5153,909,3929
Sketch,coral,resnet50,3407,0.9867986798679867,0.8444896920335964,0.5487359961701974,5153,909,3929
Sketch,coral,resnet50,123,0.9801980198019802,0.8551794349707305,0.4688689580936716,5153,909,3929
