seed,method,corruption,severity,accuracy
3407,strong_aug,gaussian_noise,1,0.8098752863324001
3407,strong_aug,gaussian_noise,2,0.8086026978875032
3407,strong_aug,gaussian_noise,3,0.8096207686434207
3407,strong_aug,gaussian_noise,4,0.8096207686434207
3407,strong_aug,gaussian_noise,5,0.8101298040213795
3407,strong_aug,blur,1,0.8294731483838127
3407,strong_aug,blur,2,0.8332909137185034
3407,strong_aug,blur,3,0.8279460422499364
3407,strong_aug,blur,4,0.80580300330873
3407,strong_aug,blur,5,0.782641893611606
3407,strong_aug,brightness,1,0.811147874777297
3407,strong_aug,brightness,2,0.8055484856197506
3407,strong_aug,brightness,3,0.8055484856197506
3407,strong_aug,brightness,4,0.80580300330873
3407,strong_aug,brightness,5,0.8040213794858743
3407,strong_aug,contrast,1,0.8154746754899466
3407,strong_aug,contrast,2,0.8139475693560703
3407,strong_aug,contrast,3,0.8131840162891321
3407,strong_aug,contrast,4,0.8096207686434207
3407,strong_aug,contrast,5,0.80580300330873
3407,strong_aug,jpeg,1,0.8187834054466785
3407,strong_aug,jpeg,2,0.8187834054466785
3407,strong_aug,jpeg,3,0.8213285823364724
3407,strong_aug,jpeg,4,0.8233647238483075
3407,strong_aug,jpeg,5,0.8320183252736065
3407,feature_plus_kl,gaussian_noise,1,0.8635785187070502
3407,feature_plus_kl,gaussian_noise,2,0.8544158819037924
3407,feature_plus_kl,gaussian_noise,3,0.8523797403919572
3407,feature_plus_kl,gaussian_noise,4,0.849580045813184
3407,feature_plus_kl,gaussian_noise,5,0.846271315856452
3407,feature_plus_kl,blur,1,0.866123695596844
3407,feature_plus_kl,blur,2,0.8640875540850089
3407,feature_plus_kl,blur,3,0.856197505726648
3407,feature_plus_kl,blur,4,0.8355815729193179
3407,feature_plus_kl,blur,5,0.801221684907101
3407,feature_plus_kl,brightness,1,0.8623059302621532
3407,feature_plus_kl,brightness,2,0.8635785187070502
3407,feature_plus_kl,brightness,3,0.8633240010180707
3407,feature_plus_kl,brightness,4,0.8623059302621532
3407,feature_plus_kl,brightness,5,0.8589972003054213
3407,feature_plus_kl,contrast,1,0.8640875540850089
3407,feature_plus_kl,contrast,2,0.8630694833290914
3407,feature_plus_kl,contrast,3,0.8607788241282769
3407,feature_plus_kl,contrast,4,0.8549249172817511
3407,feature_plus_kl,contrast,5,0.8498345635021634
3407,feature_plus_kl,jpeg,1,0.8623059302621532
3407,feature_plus_kl,jpeg,2,0.8671417663527615
3407,feature_plus_kl,jpeg,3,0.8658691779078646
3407,feature_plus_kl,jpeg,4,0.8653601425299058
3407,feature_plus_kl,jpeg,5,0.8589972003054213
