target,method,model,seed,best_source_val,target_accuracy,target_loss,n_train,n_val,n_test
Photo,mixup,resnet50,123,0.9815705128205128,0.9664670658682635,0.1100208537513669,7073,1248,1670
Photo,mixup,resnet50,3407,0.9727564102564102,0.9610778443113772,0.13597355433600303,7073,1248,1670
Photo,mixup,resnet50,42,0.9783653846153846,0.9718562874251497,0.0932059695573334,7073,1248,1670
Art_Painting,mixup,resnet50,123,0.984047019311503,0.84326171875,0.5419657311867923,6752,1191,2048
Art_Painting,mixup,resnet50,3407,0.9832073887489504,0.806640625,0.7108527519740164,6752,1191,2048
Art_Painting,mixup,resnet50,42,0.9722921914357683,0.80859375,0.6442622451577336,6752,1191,2048
Cartoon,mixup,resnet50,123,0.981675392670157,0.8421501706484642,0.5420838417962143,6501,1146,2344
Cartoon,mixup,resnet50,3407,0.9860383944153578,0.8075938566552902,0.6541392542040388,6501,1146,2344
Cartoon,mixup,resnet50,42,0.9764397905759162,0.783703071672355,0.7873503966797334,6501,1146,2344
Sketch,mixup,resnet50,123,0.9790979097909791,0.7610078900483583,0.7503095172491654,5153,909,3929
Sketch,mixup,resnet50,3407,0.9757975797579758,0.7276660727920591,0.9421766505771753,5153,909,3929
Sketch,mixup,resnet50,42,0.9790979097909791,0.6184779842199033,1.2104660881994698,5153,909,3929
