target,method,model,seed,best_source_val,target_accuracy,target_loss,n_train,n_val,n_test
Photo,erm,resnet50,123,0.9759615384615384,0.9592814371257485,0.164500993639985,7073,1248,1670
Photo,erm,resnet50,3407,0.9751602564102564,0.9562874251497006,0.16700920448886553,7073,1248,1670
Photo,erm,resnet50,42,0.9791666666666666,0.9682634730538923,0.10838595409306509,7073,1248,1670
Photo,aug,resnet50,123,0.9807692307692307,0.9724550898203593,0.10285955173050702,7073,1248,1670
Photo,aug,resnet50,3407,0.9807692307692307,0.9658682634730539,0.13317764081601657,7073,1248,1670
Photo,erm,resnet50,42,0.9751602564102564,0.9604790419161676,0.15061858549602167,7073,1248,1670
Photo,shiftguard,resnet50,123,0.9799679487179487,0.9658682634730539,0.1057151084566422,7073,1248,1670
Photo,shiftguard,resnet50,3407,0.9791666666666666,0.9580838323353293,0.12583509700646078,7073,1248,1670
Photo,aug,resnet50,42,0.9775641025641025,0.9574850299401197,0.14610000491661151,7073,1248,1670
Art_Painting,erm,resnet50,3407,0.9781696053736356,0.783203125,0.811474543530494,6752,1191,2048
Art_Painting,erm,resnet50,123,0.9781696053736356,0.80859375,0.7778369458392262,6752,1191,2048
Photo,shiftguard,resnet50,42,0.9831730769230769,0.9610778443113772,0.1242833166439149,7073,1248,1670
Art_Painting,aug,resnet50,123,0.9848866498740554,0.8330078125,0.6513045946485363,6752,1191,2048
Art_Painting,aug,resnet50,3407,0.9848866498740554,0.86962890625,0.5053282981971279,6752,1191,2048
Art_Painting,erm,resnet50,42,0.9672544080604534,0.8349609375,0.6133984841872007,6752,1191,2048
Art_Painting,shiftguard,resnet50,123,0.9773299748110831,0.82177734375,0.7436664262786508,6752,1191,2048
Art_Painting,shiftguard,resnet50,3407,0.9815281276238456,0.83984375,0.577732871286571,6752,1191,2048
Art_Painting,aug,resnet50,42,0.9731318219983207,0.85693359375,0.5451214103959501,6752,1191,2048
Cartoon,erm,resnet50,123,0.9773123909249564,0.8080204778156996,0.9002669565474977,6501,1146,2344
Cartoon,erm,resnet50,3407,0.9790575916230366,0.8071672354948806,0.9648444392263839,6501,1146,2344
Cartoon,aug,resnet50,123,0.9808027923211169,0.8246587030716723,0.76851553156012,6501,1146,2344
Art_Painting,shiftguard,resnet50,42,0.9722921914357683,0.81884765625,0.706758406246081,6752,1191,2048
Cartoon,aug,resnet50,3407,0.9860383944153578,0.8430034129692833,0.7285889429374004,6501,1146,2344
Cartoon,shiftguard,resnet50,123,0.9808027923211169,0.7986348122866894,0.7327007665569059,6501,1146,2344
Cartoon,erm,resnet50,42,0.9703315881326352,0.8195392491467577,0.7361450260409723,6501,1146,2344
Cartoon,shiftguard,resnet50,3407,0.9825479930191972,0.8323378839590444,0.6272687036480513,6501,1146,2344
Sketch,erm,resnet50,123,0.9746974697469747,0.6273861033341818,1.8571525655912515,5153,909,3929
Sketch,erm,resnet50,3407,0.9724972497249725,0.7032323746500382,1.296136852309248,5153,909,3929
Cartoon,aug,resnet50,42,0.9860383944153578,0.8336177474402731,0.7195108803974484,6501,1146,2344
Sketch,aug,resnet50,123,0.9867986798679867,0.8516161873250191,0.49298017802554617,5153,909,3929
Sketch,aug,resnet50,3407,0.9856985698569857,0.8159837108679053,0.6079017769352841,5153,909,3929
Cartoon,shiftguard,resnet50,42,0.981675392670157,0.8135665529010239,0.6468189984604513,6501,1146,2344
Sketch,shiftguard,resnet50,123,0.9790979097909791,0.7729702214303894,0.6387905814739683,5153,909,3929
Sketch,shiftguard,resnet50,3407,0.9878987898789879,0.8340544667854416,0.5187294165895137,5153,909,3929
Sketch,erm,resnet50,42,0.9735973597359736,0.703741410027997,1.107510701565228,5153,909,3929
Sketch,aug,resnet50,42,0.988998899889989,0.839653855942988,0.553733136551348,5153,909,3929
Sketch,shiftguard,resnet50,42,0.9856985698569857,0.8488164927462458,0.4909511502271816,5153,909,3929
