target,method,corruption,severity,accuracy
Sketch,aug,gaussian_noise,1,0.8518707050139984
Sketch,aug,gaussian_noise,2,0.8541613642148129
Sketch,aug,gaussian_noise,3,0.856197505726648
Sketch,aug,gaussian_noise,4,0.8516161873250191
Sketch,aug,gaussian_noise,5,0.848307457368287
Sketch,aug,blur,1,0.8472893866123695
Sketch,aug,blur,2,0.8503435988801221
Sketch,aug,blur,3,0.8521252227029779
Sketch,aug,blur,4,0.8401628913209468
Sketch,aug,blur,5,0.8205650292695342
Sketch,aug,brightness,1,0.839653855942988
Sketch,aug,brightness,2,0.8393993382540087
Sketch,aug,brightness,3,0.8404174090099262
Sketch,aug,brightness,4,0.8383812674980912
Sketch,aug,brightness,5,0.8368541613642149
Sketch,aug,contrast,1,0.8368541613642149
Sketch,aug,contrast,2,0.8322728429625859
Sketch,aug,contrast,3,0.8315092898956478
Sketch,aug,contrast,4,0.8302367014507508
Sketch,aug,contrast,5,0.8213285823364724
Sketch,aug,jpeg,1,0.8424535505217613
Sketch,aug,jpeg,2,0.8437261389666582
Sketch,aug,jpeg,3,0.840926444387885
Sketch,aug,jpeg,4,0.840926444387885
Sketch,aug,jpeg,5,0.8437261389666582
Sketch,shiftguard,gaussian_noise,1,0.8386357851870705
Sketch,shiftguard,gaussian_noise,2,0.8360906082972767
Sketch,shiftguard,gaussian_noise,3,0.840926444387885
Sketch,shiftguard,gaussian_noise,4,0.8386357851870705
Sketch,shiftguard,gaussian_noise,5,0.8368541613642149
Sketch,shiftguard,blur,1,0.8470348689233902
Sketch,shiftguard,blur,2,0.8503435988801221
Sketch,shiftguard,blur,3,0.8498345635021634
Sketch,shiftguard,blur,4,0.8465258335454314
Sketch,shiftguard,blur,5,0.8208195469585137
Sketch,shiftguard,brightness,1,0.840926444387885
Sketch,shiftguard,brightness,2,0.8388903028760499
Sketch,shiftguard,brightness,3,0.8391448205650293
Sketch,shiftguard,brightness,4,0.8399083736319675
Sketch,shiftguard,brightness,5,0.8404174090099262
Sketch,shiftguard,contrast,1,0.8414354797658438
Sketch,shiftguard,contrast,2,0.8401628913209468
Sketch,shiftguard,contrast,3,0.8393993382540087
Sketch,shiftguard,contrast,4,0.8365996436752354
Sketch,shiftguard,contrast,5,0.8337999490964622
Sketch,shiftguard,jpeg,1,0.8442351743446169
Sketch,shiftguard,jpeg,2,0.8455077627895139
Sketch,shiftguard,jpeg,3,0.8455077627895139
Sketch,shiftguard,jpeg,4,0.8480529396793077
Sketch,shiftguard,jpeg,5,0.8437261389666582
